Ano,Arrecadacao IR Milhoes
2010,208201.2916394
2011,249818.3877017
2012,264146.0390366
2013,287579.6970568
2014,304436.8793271
2015,322100.8702751
2016,364447.9920763
2017,359697.6659534
2018,390834.3667818
2019,433797.0684810
2020,438528.9394598
2021,561268.8721020
2022,710126.40517559
2023,746370.48775509
